angle:0.26563   ,   distance:341
angle:0.54688   ,   distance:341
angle:0.84375   ,   distance:339
angle:1.1094   ,   distance:341
angle:1.4063   ,   distance:339
angle:1.6719   ,   distance:340
angle:1.9688   ,   distance:339
angle:2.2344   ,   distance:341
angle:2.5313   ,   distance:339
angle:2.7969   ,   distance:341
angle:2.9219   ,   distance:0
angle:3.3281   ,   distance:343
angle:3.6094   ,   distance:344
angle:3.8594   ,   distance:347
angle:4.1094   ,   distance:349
angle:4.3906   ,   distance:350
angle:4.6563   ,   distance:351
angle:4.9219   ,   distance:353
angle:5.1875   ,   distance:355
angle:5.4375   ,   distance:357
angle:5.75   ,   distance:354
angle:6   ,   distance:358
angle:6.25   ,   distance:362
angle:6.5   ,   distance:364
angle:6.75   ,   distance:367
angle:7.0156   ,   distance:369
angle:7.3125   ,   distance:367
angle:7.625   ,   distance:364
angle:7.875   ,   distance:368
angle:8.0938   ,   distance:374
angle:8.375   ,   distance:374
angle:8.6719   ,   distance:372
angle:8.9063   ,   distance:378
angle:9.3594   ,   distance:0
angle:9.6406   ,   distance:0
angle:9.9219   ,   distance:0
angle:10.203   ,   distance:0
angle:10.469   ,   distance:0
angle:10.75   ,   distance:0
angle:11.031   ,   distance:0
angle:11.172   ,   distance:570
angle:11.313   ,   distance:0
angle:11.469   ,   distance:569
angle:11.594   ,   distance:0
angle:11.75   ,   distance:567
angle:11.875   ,   distance:0
angle:12.047   ,   distance:563
angle:12.156   ,   distance:0
angle:12.344   ,   distance:561
angle:12.625   ,   distance:561
angle:12.922   ,   distance:554
angle:13.203   ,   distance:555
angle:13.5   ,   distance:553
angle:13.797   ,   distance:549
angle:14.078   ,   distance:548
angle:14.359   ,   distance:547
angle:14.625   ,   distance:550
angle:14.922   ,   distance:548
angle:15.234   ,   distance:539
angle:15.516   ,   distance:539
angle:15.813   ,   distance:538
angle:16.078   ,   distance:540
angle:16.359   ,   distance:539
angle:16.656   ,   distance:538
angle:16.938   ,   distance:536
angle:17.234   ,   distance:534
angle:17.516   ,   distance:532
angle:17.813   ,   distance:530
angle:18.109   ,   distance:527
angle:18.422   ,   distance:518
angle:18.688   ,   distance:521
angle:18.969   ,   distance:522
angle:19.25   ,   distance:521
angle:19.531   ,   distance:521
angle:19.828   ,   distance:520
angle:20.109   ,   distance:518
angle:20.406   ,   distance:516
angle:20.688   ,   distance:515
angle:20.969   ,   distance:514
angle:21.266   ,   distance:512
angle:21.563   ,   distance:510
angle:21.844   ,   distance:509
angle:22.141   ,   distance:508
angle:22.438   ,   distance:506
angle:22.719   ,   distance:505
angle:23   ,   distance:504
angle:23.297   ,   distance:503
angle:23.578   ,   distance:501
angle:23.875   ,   distance:499
angle:24.156   ,   distance:499
angle:24.453   ,   distance:496
angle:24.75   ,   distance:494
angle:25.031   ,   distance:494
angle:25.313   ,   distance:494
angle:25.594   ,   distance:492
angle:25.875   ,   distance:493
angle:26.188   ,   distance:488
angle:26.484   ,   distance:483
angle:26.781   ,   distance:482
angle:27.031   ,   distance:486
angle:27.313   ,   distance:486
angle:27.594   ,   distance:489
angle:27.875   ,   distance:492
angle:28.125   ,   distance:496
angle:28.359   ,   distance:504
angle:29.516   ,   distance:0
angle:29.797   ,   distance:0
angle:29.828   ,   distance:1174
angle:30.078   ,   distance:0
angle:30.109   ,   distance:1170
angle:30.344   ,   distance:0
angle:30.391   ,   distance:1169
angle:30.625   ,   distance:0
angle:30.672   ,   distance:1167
angle:30.906   ,   distance:0
angle:30.969   ,   distance:1164
angle:31.188   ,   distance:0
angle:31.25   ,   distance:1162
angle:31.469   ,   distance:0
angle:31.531   ,   distance:1160
angle:31.75   ,   distance:0
angle:31.813   ,   distance:1159
angle:32.094   ,   distance:1158
angle:32.375   ,   distance:1159
angle:32.656   ,   distance:1155
angle:32.938   ,   distance:1154
angle:33.219   ,   distance:1158
angle:33.484   ,   distance:1180
angle:35.656   ,   distance:464
angle:35.938   ,   distance:463
angle:35.953   ,   distance:0
angle:36.234   ,   distance:459
angle:36.516   ,   distance:459
angle:36.797   ,   distance:459
angle:37.078   ,   distance:458
angle:37.359   ,   distance:458
angle:37.641   ,   distance:458
angle:37.922   ,   distance:458
angle:38.203   ,   distance:459
angle:38.484   ,   distance:460
angle:38.75   ,   distance:461
angle:39.031   ,   distance:461
angle:39.297   ,   distance:463
angle:39.563   ,   distance:466
angle:39.828   ,   distance:470
angle:40.125   ,   distance:467
angle:40.984   ,   distance:0
angle:41.266   ,   distance:0
angle:41.547   ,   distance:0
angle:41.703   ,   distance:1112
angle:41.828   ,   distance:0
angle:41.984   ,   distance:1112
angle:42.109   ,   distance:0
angle:42.266   ,   distance:1111
angle:42.391   ,   distance:0
